Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-NOV-2022|BABP|EQUITY|31383746271|119|117046900|15248086329|8825000|0|4951487397|128879076|24965300|2031100|10142824|20491463926|0|9066184919|1961100|113433000|27156100|47270000|56606633|0|1265181022|10577792774
30-NOV-2022|BACA|EQUITY|7078021385|130|554267400|2993154029|0|12686999|2621341233|392072413|72885134|2103300|37500|6648548008|0|1134900|766600|9557400|8196800|26575000|23126490|0|289336160|358693350
30-NOV-2022|BAJA|EQUITY|1800000000|143|0|88000000|0|0|310086400|0|0|0|0|398086400|0|575500|0|0|246200|315200|1000|775700|0|1913600
30-NOV-2022|BALI|EQUITY|3934592500|810|68436102|2625874251|0|0|436128800|0|123785647|0|0|3254224800|0|100000000|0|67500600|2162600|0|9500|0|68625000|238297700
30-NOV-2022|BANK|EQUITY|13805616801|1425|1214394400|2885404014|5152300|109580600|496202086|196073900|14000087|0|0|4920807387|5555100|12633100|14193700|12135897|97200|73037600|257909|0|36653162|154563668
30-NOV-2022|BAPA|EQUITY|661784520|120|0|455994800|0|0|158708003|0|43643817|0|0|658346620|0|1032500|0|634400|37900|0|1728100|0|0|3432900
30-NOV-2022|BAPI|EQUITY|5591980103|50|38067999|3292401|1114534|0|1386397071|205666537|11872945|1064679|3095000|1650571166|0|6939300|0|0|20251637|0|0|0|0|27190937
30-NOV-2022|BATA|EQUITY|1300000000|515|0|0|0|50000|40282870|0|0|5800|0|40338670|0|0|0|72571600|3619000|36207500|3096500|0|63954200|179448800
30-NOV-2022|BAUT|EQUITY|4800038997|50|0|752575700|0|0|1444837897|0|0|40000|58000|2197511597|0|2600000000|0|800|2526600|0|0|0|0|2602527400
30-NOV-2022|BAYU|EQUITY|353220780|1025|41071083|113991868|0|27384|13556009|19016300|10912|0|0|187673556|0|9000|0|153437414|1041|0|0|0|4250830|157698285
